África,África do Sul,Angola,Cabo Verde,Egito,Gana,Marrocos,Moçambique,Nigéria,Quênia,Tunísia,Outros países da África,América Central e Caribe,Costa Rica,Cuba,El Salvador,Guatemala,Haiti,Honduras,Nicarágua,Panamá,República Dominicana,Trinidad e Tobago,Outros países da América Central e Caribe,América do Norte,Canadá,Estados Unidos,México,América do Sul,Argentina,Bolívia,Chile,Colômbia,Equador,Guiana,Guiana Francesa,Paraguai,Peru,Suriname,Uruguai,Venezuela,Ásia,Arábia Saudita,Bangladesh,China,"China, Hong Kong",Cingapura,Filipinas,Índia,Indonésia,Irã,Israel,Japão,Líbano,Malásia,Paquistão,República da Coreia,Síria,Tailândia,Taiwan,Outros países da Ásia,Europa,Alemanha,Áustria,Bélgica,Bulgária,Croácia,Dinamarca,Eslováquia,Eslovênia,Espanha,Estônia,Finlândia,França,Grécia,Holanda,Hungria,Irlanda,Itália,Letônia,Lituânia,Luxemburgo,Noruega,Polônia,Portugal,Reino Unido,República Tcheca,Romênia,Rússia,Sérvia,Suécia,Suíça,Turquia,Ucrânia,Outros países da Europa,Oceania,Austrália
12285,3129,2440,73,579,65,2630,1011,313,92,802,1151,8623,1913,427,597,1166,132,503,264,2446,536,210,429,138629,13524,116984,8121,627135,367042,1940,153741,29007,5750,61,-,4357,25150,16,33106,6965,39320,442,104,8574,694,988,1373,3782,794,156,8472,4074,480,1150,269,4273,103,669,741,2182,357829,43827,5010,6288,1075,994,5043,941,417,20659,514,1823,71644,1915,13944,2482,7140,35378,509,760,440,7111,8042,31677,48217,2773,2927,9524,969,7817,13085,1197,2038,1649,14694,12929
1557,394,371,6,29,1,240,368,39,2,37,70,560,197,37,29,67,3,26,4,138,21,10,28,10570,1209,8882,479,80206,51022,132,19037,2288,264,5,-,1525,1947,-,3418,568,2956,26,4,600,96,47,73,211,37,7,847,243,29,72,43,446,7,32,41,95,28503,3391,425,443,68,72,372,83,30,1553,60,204,4848,102,952,315,803,3266,33,58,14,451,798,2706,3499,260,290,816,72,875,1133,115,238,158,1788,1706
1448,442,221,14,43,3,315,252,9,9,61,79,561,115,20,51,70,7,32,9,198,13,17,29,12411,1496,10285,630,75954,44972,95,21203,1882,381,5,-,708,2134,4,4050,520,4300,44,1,537,79,58,60,192,18,12,1856,389,31,99,9,608,10,45,56,196,39488,4787,593,529,122,50,491,120,67,1574,150,326,9945,234,1015,570,806,3382,87,78,64,606,1233,3266,4760,370,342,1062,96,1041,1213,110,260,139,1697,1598
2078,854,282,12,75,2,300,128,59,11,242,113,907,167,35,43,83,11,45,59,331,51,20,62,16720,1633,14123,964,69888,47236,138,13301,2196,814,10,-,281,1923,-,3159,830,5709,78,7,905,217,126,243,439,34,22,1610,411,78,139,27,655,14,77,228,399,38102,5741,568,593,157,72,407,78,53,1710,51,195,7584,181,971,414,946,2939,61,101,34,549,963,3494,5305,422,398,1340,86,801,1178,156,273,281,2104,1958
989,240,240,5,48,3,241,42,35,2,68,65,807,239,48,54,123,5,40,29,134,59,40,36,8907,722,7313,872,46010,27788,72,8811,2028,560,7,-,214,1759,-,4300,471,2692,15,15,630,42,49,92,246,29,8,484,324,48,128,14,324,11,86,20,127,31461,3729,306,564,60,177,449,84,23,1862,26,87,6167,198,949,136,589,3367,49,69,36,714,559,3319,4557,216,218,767,58,603,1185,93,155,90,840,650
610,109,206,2,52,2,63,33,26,8,27,82,446,115,34,35,44,12,19,7,114,25,17,24,9198,553,7843,802,36775,20291,78,10116,1775,353,4,-,154,1456,1,2064,483,3463,20,7,1095,35,109,103,498,54,25,516,303,16,125,11,281,6,30,80,149,20849,2316,287,298,43,195,254,38,16,1356,15,83,4347,182,802,136,390,1875,29,59,45,349,402,1984,3242,110,185,562,78,309,554,114,98,96,719,573
791,195,154,3,52,5,182,24,14,18,45,99,572,93,31,70,96,11,41,20,126,47,11,26,10428,503,9219,706,43209,18614,122,12553,4643,407,11,-,263,3663,5,2438,490,2583,26,1,831,40,60,149,236,90,10,214,337,32,52,82,185,6,27,26,179,18919,2304,218,409,67,120,268,41,19,1212,22,107,2942,164,688,128,709,1769,21,36,20,575,378,1706,2840,120,121,385,38,603,577,103,143,66,879,740
822,103,205,1,61,22,208,41,18,2,55,106,711,129,52,46,142,20,47,24,156,62,6,27,10719,1073,8922,724,43584,24658,155,10734,1757,417,4,-,197,3240,2,2089,331,2765,65,5,646,40,48,141,403,46,8,353,325,44,62,11,306,8,86,27,141,27624,3060,475,1033,29,37,583,67,30,1734,16,66,6683,80,1931,77,401,2178,12,43,20,731,365,1703,3415,103,61,275,27,657,1495,62,86,89,921,768
1069,98,311,2,58,3,384,52,9,5,60,87,778,160,29,48,73,10,35,29,263,80,22,29,11704,1391,9620,693,40822,22450,84,9885,2293,669,3,-,187,2213,3,2533,502,3005,33,27,700,14,64,78,541,48,9,299,580,25,89,7,169,2,108,33,179,30663,2848,354,493,40,42,304,37,24,2380,7,79,7722,175,879,120,459,5304,18,46,47,425,467,2654,3832,97,111,325,63,297,797,63,79,75,990,838
807,157,234,3,12,8,158,54,40,12,30,99,869,165,36,77,87,17,67,19,270,78,20,33,10744,1848,8236,660,45125,23317,193,12720,2519,553,6,-,209,1814,-,3215,579,3013,57,6,781,30,63,130,271,58,8,632,300,19,133,16,329,7,58,34,81,23445,3541,289,538,50,38,363,47,24,1467,20,104,3484,105,872,95,465,1770,30,47,28,507,691,2466,4008,115,156,475,31,463,912,63,89,92,1402,1180
717,188,198,5,28,1,121,12,22,11,17,114,680,176,25,44,66,11,41,14,195,29,22,57,11065,1005,9452,608,45548,25085,168,12516,2538,658,-,-,165,1958,-,1752,708,2899,31,10,532,25,135,134,194,136,13,605,242,39,80,19,357,5,43,60,239,28279,3972,401,395,65,30,472,54,40,1570,22,118,6120,63,1612,162,550,1902,52,55,27,652,507,1936,4066,236,303,789,60,520,1106,90,133,199,1066,945
554,93,6,3,31,8,172,2,27,6,53,153,1021,181,32,53,173,8,57,27,405,33,9,43,11159,927,9756,476,43863,27249,69,9742,2489,411,5,-,124,1488,1,1673,612,2948,15,5,720,27,120,82,263,144,16,552,288,41,91,12,228,16,54,78,196,32484,3754,513,494,162,79,457,210,49,2117,77,222,5695,148,1356,153,479,2644,60,95,33,763,1163,2534,4442,479,379,1487,184,651,1132,75,223,175,872,718
843,256,12,17,90,7,246,3,15,6,107,84,711,176,48,47,142,17,53,23,116,38,16,35,15004,1164,13333,507,56151,34360,634,13123,2599,263,1,-,330,1555,-,2415,871,2987,32,16,597,49,109,88,288,100,18,504,332,78,80,18,385,11,23,58,201,38012,4384,581,499,212,82,623,82,42,2124,48,232,6107,283,1917,176,543,4982,57,73,72,789,516,3909,4251,245,363,1241,176,997,1803,153,261,189,1416,1255
